zion01,1,hare send,3.82Mbits/sec
zion01,16K,hare send,12.9Gbits/sec
zion01,1K,hare send,3.25Gbits/sec
zion01,256,hare send,902Mbits/sec
zion01,4K,hare send,9.07Gbits/sec
zion01,512,hare send,1.77Gbits/sec
zion01,64,hare send,231Mbits/sec
zion01,8,hare send,29.6Mbits/sec
zion01,8K,hare send,9.09Gbits/sec
zion07,1,hare send,4.23Mbits/sec
zion07,16K,hare send,6.71Gbits/sec
zion07,1K,hare send,2.35Gbits/sec
zion07,256,hare send,881Mbits/sec
zion07,4K,hare send,5.52Gbits/sec
zion07,512,hare send,1.64Gbits/sec
zion07,64,hare send,228Mbits/sec
zion07,8,hare send,30.6Mbits/sec
zion07,8K,hare send,6.88Gbits/sec
zion08,1,hare send,4.19Mbits/sec
zion08,16K,hare send,4.03Gbits/sec
zion08,1K,hare send,2.87Gbits/sec
zion08,256,hare send,868Mbits/sec
zion08,4K,hare send,4.55Gbits/sec
zion08,512,hare send,1.61Gbits/sec
zion08,64,hare send,229Mbits/sec
zion08,8,hare send,30.1Mbits/sec
zion08,8K,hare send,4.40Gbits/sec
zion09,1,hare send,4.19Mbits/sec
zion09,16K,hare send,6.65Gbits/sec
zion09,1K,hare send,2.23Gbits/sec
zion09,256,hare send,872Mbits/sec
zion09,4K,hare send,5.42Gbits/sec
zion09,512,hare send,1.49Gbits/sec
zion09,64,hare send,231Mbits/sec
zion09,8,hare send,31.0Mbits/sec
zion09,8K,hare send,6.34Gbits/sec
zion10,1,hare send,4.26Mbits/sec
zion10,16K,hare send,6.34Gbits/sec
zion10,1K,hare send,2.26Gbits/sec
zion10,256,hare send,858Mbits/sec
zion10,4K,hare send,4.86Gbits/sec
zion10,512,hare send,1.63Gbits/sec
zion10,64,hare send,232Mbits/sec
zion10,8,hare send,30.5Mbits/sec
zion10,8K,hare send,5.84Gbits/sec
