zion01,1,hare send-bidir,2.66Mbits/sec
zion01,1,hare recv-bidir,2.76Mbits/sec
zion01,16K,hare send-bidir,5.64Gbits/sec
zion01,16K,hare recv-bidir,8.04Gbits/sec
zion01,1K,hare send-bidir,2.04Gbits/sec
zion01,1K,hare recv-bidir,1.76Gbits/sec
zion01,256,hare send-bidir,604Mbits/sec
zion01,256,hare recv-bidir,633Mbits/sec
zion01,4K,hare send-bidir,5.17Gbits/sec
zion01,4K,hare recv-bidir,4.09Gbits/sec
zion01,512,hare send-bidir,1.18Gbits/sec
zion01,512,hare recv-bidir,1.19Gbits/sec
zion01,64,hare send-bidir,156Mbits/sec
zion01,64,hare recv-bidir,166Mbits/sec
zion01,8,hare send-bidir,20.7Mbits/sec
zion01,8,hare recv-bidir,21.1Mbits/sec
zion01,8K,hare send-bidir,6.99Gbits/sec
zion01,8K,hare recv-bidir,5.82Gbits/sec
zion07,1,hare send-bidir,3.09Mbits/sec
zion07,1,hare recv-bidir,2.56Mbits/sec
zion07,16K,hare send-bidir,5.95Gbits/sec
zion07,16K,hare recv-bidir,4.91Gbits/sec
zion07,1K,hare send-bidir,2.01Gbits/sec
zion07,1K,hare recv-bidir,1.72Gbits/sec
zion07,256,hare send-bidir,576Mbits/sec
zion07,256,hare recv-bidir,609Mbits/sec
zion07,4K,hare send-bidir,4.40Gbits/sec
zion07,4K,hare recv-bidir,2.73Gbits/sec
zion07,512,hare send-bidir,998Mbits/sec
zion07,512,hare recv-bidir,1.07Gbits/sec
zion07,64,hare send-bidir,156Mbits/sec
zion07,64,hare recv-bidir,154Mbits/sec
zion07,8,hare send-bidir,22.0Mbits/sec
zion07,8,hare recv-bidir,20.5Mbits/sec
zion07,8K,hare send-bidir,4.57Gbits/sec
zion07,8K,hare recv-bidir,6.47Gbits/sec
zion08,1,hare send-bidir,2.98Mbits/sec
zion08,1,hare recv-bidir,2.65Mbits/sec
zion08,16K,hare send-bidir,4.04Gbits/sec
zion08,16K,hare recv-bidir,8.63Gbits/sec
zion08,1K,hare send-bidir,2.00Gbits/sec
zion08,1K,hare recv-bidir,1.94Gbits/sec
zion08,256,hare send-bidir,608Mbits/sec
zion08,256,hare recv-bidir,578Mbits/sec
zion08,4K,hare send-bidir,3.29Gbits/sec
zion08,4K,hare recv-bidir,5.19Gbits/sec
zion08,512,hare send-bidir,1.15Gbits/sec
zion08,512,hare recv-bidir,1.01Gbits/sec
zion08,64,hare send-bidir,156Mbits/sec
zion08,64,hare recv-bidir,159Mbits/sec
zion08,8,hare send-bidir,22.3Mbits/sec
zion08,8,hare recv-bidir,20.5Mbits/sec
zion08,8K,hare send-bidir,4.02Gbits/sec
zion08,8K,hare recv-bidir,7.91Gbits/sec
zion09,1,hare send-bidir,3.03Mbits/sec
zion09,1,hare recv-bidir,2.70Mbits/sec
zion09,16K,hare send-bidir,5.60Gbits/sec
zion09,16K,hare recv-bidir,4.76Gbits/sec
zion09,1K,hare send-bidir,1.79Gbits/sec
zion09,1K,hare recv-bidir,1.47Gbits/sec
zion09,256,hare send-bidir,626Mbits/sec
zion09,256,hare recv-bidir,562Mbits/sec
zion09,4K,hare send-bidir,3.75Gbits/sec
zion09,4K,hare recv-bidir,3.92Gbits/sec
zion09,512,hare send-bidir,1.21Gbits/sec
zion09,512,hare recv-bidir,1.00Gbits/sec
zion09,64,hare send-bidir,151Mbits/sec
zion09,64,hare recv-bidir,162Mbits/sec
zion09,8,hare send-bidir,22.1Mbits/sec
zion09,8,hare recv-bidir,20.3Mbits/sec
zion09,8K,hare send-bidir,4.37Gbits/sec
zion09,8K,hare recv-bidir,6.51Gbits/sec
zion10,1,hare send-bidir,3.11Mbits/sec
zion10,1,hare recv-bidir,2.60Mbits/sec
zion10,16K,hare send-bidir,5.78Gbits/sec
zion10,16K,hare recv-bidir,5.09Gbits/sec
zion10,1K,hare send-bidir,1.58Gbits/sec
zion10,1K,hare recv-bidir,1.92Gbits/sec
zion10,256,hare send-bidir,598Mbits/sec
zion10,256,hare recv-bidir,568Mbits/sec
zion10,4K,hare send-bidir,3.55Gbits/sec
zion10,4K,hare recv-bidir,5.07Gbits/sec
zion10,512,hare send-bidir,904Mbits/sec
zion10,512,hare recv-bidir,1.19Gbits/sec
zion10,64,hare send-bidir,157Mbits/sec
zion10,64,hare recv-bidir,160Mbits/sec
zion10,8,hare send-bidir,21.7Mbits/sec
zion10,8,hare recv-bidir,20.2Mbits/sec
zion10,8K,hare send-bidir,4.49Gbits/sec
zion10,8K,hare recv-bidir,6.21Gbits/sec
